"old_url","action","new_url","type","title","blocks","images","source_file"
"/tag/พุกเคมี/","redirect","/products/chemical-anchors/","","","","","tag/พุกเคมี/index.html"
"/tag/พุกตะกั่ว/","redirect","/products/mechanical-bolt/","","","","","tag/พุกตะกั่ว/index.html"
"/tag/hilti/","redirect","/services/hilti-services/","","","","","tag/hilti/index.html"
"/scope/not_global/","redirect","/","","","","","scope/not_global/index.html"
"/scope/global/","redirect","/","","","","","scope/global/index.html"
"/project_tag/อยุธยา/","redirect","/projects/","","","","","project_tag/อยุธยา/index.html"
"/project_tag/สระบุรี/","redirect","/projects/","","","","","project_tag/สระบุรี/index.html"
"/project_tag/บางนา/","redirect","/projects/","","","","","project_tag/บางนา/index.html"
"/project_tag/นครปฐม/","redirect","/projects/","","","","","project_tag/นครปฐม/index.html"
"/project_tag/กรุงเทพ/","redirect","/projects/","","","","","project_tag/กรุงเทพ/index.html"
"/project_tag/กบินทร์บุรี/","redirect","/projects/","","","","","project_tag/กบินทร์บุรี/index.html"
"/project_category/บริการเจาะพื้นคอริ่ง-coring/","redirect","/services/coring/","","","","","project_category/บริการเจาะพื้นคอริ่ง-coring/index.html"
"/project_category/บริการเจาะติดตั้งพุกเค/","redirect","/services/anchor/","","","","","project_category/บริการเจาะติดตั้งพุกเค/index.html"
"/project_category/บริการยิงโฟมและฉีด-epoxy/","redirect","/services/floor-repair/","","","","","project_category/บริการยิงโฟมและฉีด-epoxy/index.html"
"/privacy-policy/","handcrafted","/privacy-policy/","","","","","privacy-policy/index.html"
"/module_width/regular/","redirect","/","","","","","module_width/regular/index.html"
"/layout_type/row/","redirect","/","","","","","layout_type/row/index.html"
"/layout_type/module/","redirect","/","","","","","layout_type/module/index.html"
"/layout_type/layout/","redirect","/","","","","","layout_type/layout/index.html"
"/category/นานาสาระงานก่อสร้าง/","redirect","/blog/","","","","","category/นานาสาระงานก่อสร้าง/index.html"
"/blog/","handcrafted","/blog/","","","","","blog/index.html"
"/author/sbcc/","redirect","/blog/","","","","","author/sbcc/index.html"
"/about/","handcrafted","/about/","","","","","about/index.html"
